Histogram (CPU):
0.058594 9057496 
0.175781 8054943 
0.292969 7166749 
0.410156 6375146 
0.527344 5666412 
0.644531 5044472 
0.761719 4484893 
0.878906 3985971 
0.996094 3551549 
1.113281 3155158 
1.230469 2805091 
1.347656 2497510 
1.464844 2221251 
1.582031 1971596 
1.699219 1757861 
1.816406 1561102 
1.933594 1389427 
2.050781 1235441 
2.167969 1099352 
2.285156 977366 
2.402344 869041 
2.519531 774040 
2.636719 687533 
2.753906 611661 
2.871094 544183 
2.988281 483936 
3.105469 431105 
3.222656 383358 
3.339844 340490 
3.457031 302165 
3.574219 268258 
3.691406 239218 
3.808594 213461 
3.925781 189441 
4.042969 168632 
4.160156 150518 
4.277344 133734 
4.394531 118575 
4.511719 105043 
4.628906 93332 
4.746094 83208 
4.863281 73834 
4.980469 66272 
5.097656 58987 
5.214844 52108 
5.332031 46142 
5.449219 41305 
5.566406 36616 
5.683594 32799 
5.800781 29018 
5.917969 25771 
6.035156 23006 
6.152344 20113 
6.269531 18199 
6.386719 16290 
6.503906 14366 
6.621094 12556 
6.738281 11306 
6.855469 10010 
6.972656 8973 
7.089844 8011 
7.207031 7153 
7.324219 6389 
7.441406 5642 
7.558594 5033 
7.675781 4412 
7.792969 3967 
7.910156 3421 
8.027344 3189 
8.144531 2867 
8.261719 2485 
8.378906 2191 
8.496094 1968 
8.613281 1752 
8.730469 1534 
8.847656 1380 
8.964844 1262 
9.082031 1129 
9.199219 946 
9.316406 836 
9.433594 744 
9.550781 692 
9.667969 611 
9.785156 527 
9.902344 494 
10.019531 419 
10.136719 367 
10.253906 343 
10.371094 319 
10.488281 308 
10.605469 238 
10.722656 227 
10.839844 215 
10.957031 188 
11.074219 152 
11.191406 133 
11.308594 126 
11.425781 105 
11.542969 102 
11.660156 74 
11.777344 76 
11.894531 59 
12.011719 61 
12.128906 42 
12.246094 55 
12.363281 29 
12.480469 44 
12.597656 30 
12.714844 37 
12.832031 28 
12.949219 14 
13.066406 24 
13.183594 14 
13.300781 10 
13.417969 13 
13.535156 11 
13.652344 11 
13.769531 13 
13.886719 15 
14.003906 5 
14.121094 10 
14.238281 11 
14.355469 3 
14.472656 5 
14.589844 6 
14.707031 2 
14.824219 5 
14.941406 2 
15.058594 0 
15.175781 5 
15.292969 1 
15.410156 4 
15.527344 0 
15.644531 0 
15.761719 0 
15.878906 1 
15.996094 1 
16.113281 1 
16.230469 1 
16.347656 1 
16.464844 0 
16.582031 0 
16.699219 2 
16.816406 2 
16.933594 1 
17.050781 2 
17.167969 0 
17.285156 0 
17.402344 1 
17.519531 0 
17.636719 0 
17.753906 1 
17.871094 1 
17.988281 0 
18.105469 0 
18.222656 0 
18.339844 0 
18.457031 0 
18.574219 0 
18.691406 0 
18.808594 0 
18.925781 0 
19.042969 0 
19.160156 0 
19.277344 0 
19.394531 0 
19.511719 0 
19.628906 0 
19.746094 0 
19.863281 0 
19.980469 0 
20.097656 0 
20.214844 0 
20.332031 0 
20.449219 0 
20.566406 0 
20.683594 0 
20.800781 0 
20.917969 0 
21.035156 0 
21.152344 0 
21.269531 0 
21.386719 0 
21.503906 0 
21.621094 0 
21.738281 0 
21.855469 0 
21.972656 0 
22.089844 0 
22.207031 0 
22.324219 0 
22.441406 0 
22.558594 0 
22.675781 0 
22.792969 0 
22.910156 0 
23.027344 0 
23.144531 0 
23.261719 0 
23.378906 0 
23.496094 0 
23.613281 0 
23.730469 0 
23.847656 0 
23.964844 0 
24.082031 0 
24.199219 0 
24.316406 0 
24.433594 0 
24.550781 0 
24.667969 0 
24.785156 0 
24.902344 0 
25.019531 0 
25.136719 0 
25.253906 0 
25.371094 0 
25.488281 0 
25.605469 0 
25.722656 0 
25.839844 0 
25.957031 0 
26.074219 0 
26.191406 0 
26.308594 0 
26.425781 0 
26.542969 0 
26.660156 0 
26.777344 0 
26.894531 0 
27.011719 0 
27.128906 0 
27.246094 0 
27.363281 0 
27.480469 0 
27.597656 0 
27.714844 0 
27.832031 0 
27.949219 0 
28.066406 0 
28.183594 0 
28.300781 0 
28.417969 0 
28.535156 0 
28.652344 0 
28.769531 0 
28.886719 0 
29.003906 0 
29.121094 0 
29.238281 0 
29.355469 0 
29.472656 0 
29.589844 0 
29.707031 0 
29.824219 0 
29.941406 0 
